iter	Passed	Remaining
537	7672	3736
538	7685	3721
539	7698	3706
540	7710	3691
541	7723	3676
542	7736	3661
543	7749	3646
544	7763	3632
545	7777	3618
546	7789	3602
547	7802	3587
548	7815	3573
549	7827	3558
550	7840	3543
551	7852	3527
552	7865	3513
553	7876	3497
554	7890	3483
555	7902	3467
556	7915	3453
557	7932	3440
558	7951	3428
559	7968	3414
560	7982	3400
561	7998	3387
562	8011	3372
563	8025	3358
564	8039	3343
565	8055	3330
566	8073	3317
567	8089	3304
568	8105	3290
569	8120	3276
570	8135	3262
571	8152	3249
572	8165	3234
573	8178	3220
574	8203	3209
575	8215	3194
576	8227	3179
577	8239	3164
578	8252	3149
579	8264	3134
580	8276	3119
581	8289	3104
582	8301	3089
583	8314	3075
584	8326	3060
585	8337	3044
586	8348	3029
587	8363	3015
588	8374	3000
589	8386	2984
590	8399	2970
591	8411	2955
592	8423	2940
593	8435	2925
594	8447	2910
595	8459	2895
596	8471	2880
597	8483	2865
598	8495	2850
599	8506	2835
600	8518	2820
601	8532	2806
602	8544	2791
603	8557	2776
604	8569	2762
605	8581	2747
606	8594	2732
607	8607	2718
608	8619	2703
609	8632	2688
610	8644	2674
611	8656	2659
612	8668	2644
613	8680	2629
614	8692	2614
615	8705	2600
616	8717	2585
617	8729	2570
618	8741	2556
619	8754	2541
620	8767	2527
621	8781	2513
622	8793	2498
623	8807	2484
624	8820	2469
625	8833	2455
626	8844	2440
627	8856	2425
628	8869	2411
629	8892	2399
630	8904	2384
631	8927	2373
632	8939	2358
633	8950	2343
634	8962	2328
635	8973	2313
636	8984	2299
637	8995	2284
638	9006	2269
639	9018	2254
640	9029	2239
641	9040	2224
642	9052	2210
643	9064	2195
644	9075	2180
645	9086	2166
646	9098	2151
647	9109	2136
648	9121	2122
649	9133	2107
650	9146	2093
651	9159	2079
652	9173	2065
653	9186	2050
654	9197	2036
655	9214	2022
656	9226	2008
657	9242	1994
658	9255	1980
659	9268	1965
660	9280	1951
661	9293	1937
662	9306	1923
663	9320	1909
664	9333	1894
665	9347	1880
666	9360	1866
667	9371	1851
668	9384	1837
669	9395	1823
670	9409	1808
671	9422	1794
672	9435	1780
673	9449	1766
674	9462	1752
675	9475	1738
676	9487	1723
677	9498	1709
678	9509	1694
679	9521	1680
680	9532	1665
681	9543	1651
682	9556	1636
683	9567	1622
684	9577	1607
685	9589	1593
686	9600	1579
687	9612	1564
688	9623	1550
689	9636	1536
690	9650	1522
691	9666	1508
692	9681	1494
693	9693	1480
694	9705	1466
695	9718	1452
696	9731	1438
697	9743	1423
698	9756	1409
699	9767	1395
700	9779	1381
701	9791	1366
702	9802	1352
703	9814	1338
704	9826	1324
705	9838	1309
706	9850	1295
707	9862	1281
708	9874	1267
709	9886	1253
710	9899	1239
711	9912	1225
712	9924	1211
713	9937	1197
714	9951	1183
715	9964	1169
716	9977	1154
717	9989	1140
718	10000	1126
719	10012	1112
720	10025	1098
721	10036	1084
722	10049	1070
723	10063	1056
724	10075	1042
725	10087	1028
726	10099	1014
727	10110	999
728	10121	985
729	10133	971
730	10145	957
731	10158	943
732	10170	929
733	10182	915
734	10194	901
735	10205	887
736	10216	873
737	10229	859
738	10240	845
739	10252	831
740	10263	817
741	10274	803
742	10288	789
743	10300	775
744	10313	761
745	10326	747
746	10338	733
747	10350	719
748	10363	705
749	10376	691
750	10391	678
751	10407	664
752	10423	650
753	10451	637
754	10464	623
755	10479	609
756	10495	596
757	10509	582
758	10523	568
759	10535	554
760	10549	540
761	10561	526
762	10574	512
763	10587	498
764	10598	484
765	10610	470
766	10622	457
767	10634	443
768	10646	429
769	10658	415
770	10669	401
771	10682	387
772	10694	373
773	10706	359
774	10717	345
775	10729	331
776	10741	317
777	10752	304
778	10765	290
779	10776	276
780	10788	262
781	10801	248
782	10812	234
783	10824	220
784	10837	207
785	10848	193
786	10860	179
787	10871	165
788	10882	151
789	10895	137
790	10907	124
791	10919	110
792	10930	96
793	10943	82
794	10955	68
795	10966	55
796	10979	41
797	10990	27
798	11002	13
799	11014	0
